comment_id,target,opinion,sentiment,confidence,category,top_category_score
886175366,breakfast,substantial,POS,1.0,food,0.77
886175366,room,large,POS,1.0,facility,0.86
886175366,room,clean,POS,1.0,facility,0.86
886175366,air conditioner,good,POS,1.0,facility,0.67
886175366,bathroom,huge,POS,1.0,facility,0.80
886175366,balcony,big,POS,1.0,facility,0.92
886175366,balcony,bright,POS,1.0,facility,0.92
886175366,balcony,air,POS,1.0,facility,0.92
751602005,room,outdated,NEG,1.0,facility,0.86
751602005,room,cold,NEU,0.9956,facility,0.86
751602005,breakfast,minimal,NEU,0.9575,food,0.77
736659114,stay,hesitant,NEG,1.0,experience,1.00
736659114,room,clean,POS,1.0,facility,0.86
736659114,room,clean,POS,1.0,facility,0.86
736659114,staff,amazing,POS,1.0,service,1.00
736659114,staff,smiling,POS,1.0,service,1.00
736659114,staff,honest,POS,0.9999,service,1.00
736659114,restaurant,great,POS,1.0,food,1.00
736659114,breakfast,basic,NEU,0.9986,food,0.77
736659114,price,basic,NEU,0.9974,price,1.00
4393020,location,happy,POS,1.0,environment,1.00
4393020,pool,clean,POS,1.0,facility,1.00
4393020,bakery,fabulous,POS,1.0,environment,0.86
4393020,supermarket,fabulous,POS,1.0,environment,0.82
4393020,bakery,modern,POS,0.9999,environment,0.86
4393020,supermarket,modern,POS,1.0,environment,0.82
5438719,budget,good,POS,1.0,price,1.00
5438719,staff,friendly,POS,1.0,service,1.00
5438719,staff,helpful,POS,1.0,service,1.00
5438719,pool,great,POS,1.0,facility,1.00
5438719,hotel,safe,POS,1.0,facility,0.93
5438719,hotel,quiet,POS,1.0,facility,0.93
5438719,staff,friendly,POS,1.0,service,1.00
105053946,room,basic,NEU,1.0,facility,0.86
105053946,room,old,NEG,1.0,facility,0.86
105053946,room,clean,POS,1.0,facility,0.86
105053946,room,clean,POS,1.0,facility,0.86
105053946,tv,room,POS,0.9724,facility,0.67
105053946,price,good,POS,1.0,price,1.00
105053946,pool,enjoyed,POS,1.0,facility,1.00
105053946,pool,enjoyed,POS,0.9773,facility,1.00
105053946,lounger,enjoyed,POS,1.0,facility,0.80
340119793,room,spacious,POS,0.9997,facility,0.86
340119793,bathroom,spacious,POS,0.999,facility,0.80
340119793,room,clean,POS,1.0,facility,0.86
340119793,location,good,POS,1.0,environment,1.00
124637732,place,good,POS,1.0,environment,1.00
124637732,bed,clean,POS,1.0,facility,0.89
124637732,room,cool,POS,1.0,facility,0.86
124637732,water,clean,POS,1.0,facility,0.92
124637732,garden,amazing,POS,1.0,environment,0.75
124637732,hotel,safe,POS,1.0,facility,0.93
124637732,everyone,friendly,POS,1.0,,
121724578,place,worst,NEG,1.0,environment,1.00
